iter	Passed	Remaining
0	47	47607
1	48	24240
2	50	16762
3	52	12986
4	52	10526
5	53	8931
6	54	7740
7	55	6903
8	56	6210
9	57	5643
10	57	5186
11	58	4803
12	58	4475
13	59	4188
14	59	3936
15	60	3713
16	60	3516
17	61	3337
18	61	3178
19	61	3034
20	62	2902
21	62	2782
22	62	2674
23	63	2574
24	63	2482
25	63	2396
26	64	2325
27	65	2260
28	65	2199
29	66	2146
30	67	2102
31	68	2059
32	68	2008
33	69	1961
34	69	1913
35	69	1868
36	70	1826
37	70	1788
38	71	1754
39	71	1721
40	72	1690
41	72	1662
42	73	1638
43	74	1624
44	75	1601
45	76	1582
46	77	1565
47	77	1545
48	78	1526
49	79	1506
50	79	1484
51	80	1464
52	81	1447
53	81	1431
54	82	1413
55	82	1396
56	83	1379
57	83	1362
58	84	1346
59	84	1330
60	85	1316
61	86	1305
62	86	1292
63	87	1283
64	88	1273
65	89	1260
66	89	1250
67	90	1239
68	90	1227
69	91	1214
70	91	1202
71	92	1190
72	92	1178
73	93	1168
74	93	1157
75	94	1147
76	95	1139
77	96	1135
78	96	1127
79	97	1120
80	98	1112
81	98	1106
82	99	1095
83	101	1105
84	102	1100
85	102	1093
86	103	1087
87	104	1079
88	104	1071
89	105	1064
90	105	1056
91	106	1050
92	107	1046
93	108	1042
94	109	1039
95	109	1034
96	110	1032
97	112	1038
98	114	1040
99	115	1039
100	116	1039
101	118	1039
102	120	1047
103	121	1049
104	123	1048
105	124	1050
106	125	1049
107	127	1049
108	128	1052
109	130	1057
110	131	1052
111	131	1045
112	132	1038
113	133	1037
114	134	1036
115	135	1030
116	135	1023
117	136	1017
118	136	1011
119	137	1005
120	137	999
121	137	992
122	138	987
123	139	984
124	140	984
125	141	983
126	142	978
127	144	982
128	145	980
129	145	975
130	146	969
131	146	964
132	147	959
133	147	954
134	147	948
135	148	942
136	148	937
137	149	932
138	149	926
139	150	923
140	150	919
141	151	913
142	151	909
143	152	905
144	152	901
145	153	896
146	153	891
147	154	886
148	154	882
149	155	878
150	155	874
151	156	870
152	156	866
153	157	862
154	157	860
155	158	857
156	159	854
157	159	852
158	160	849
159	161	846
160	161	841
161	162	838
162	162	834
163	163	831
164	163	828
165	164	825
166	164	822
167	165	819
168	165	815
169	166	812
170	166	809
171	167	805
172	167	802
173	168	798
174	168	796
175	169	793
176	170	790
177	170	789
178	171	787
179	172	784
180	174	790
181	175	788
182	175	785
183	176	782
184	177	780
185	177	776
186	178	773
187	178	771
188	179	768
189	179	765
190	179	762
191	180	758
192	180	756
193	181	754
194	182	752
195	183	750
196	183	748
197	184	747
198	185	744
199	185	742
200	186	739
201	186	736
202	186	734
203	187	731
204	187	728
205	188	725
206	188	722
207	189	720
208	189	719
209	190	717
210	191	715
211	192	714
212	192	712
213	193	711
214	194	709
215	195	710
216	196	708
217	196	706
218	197	704
219	198	702
220	198	699
221	199	697
222	199	695
223	200	694
224	201	693
225	202	691
226	202	690
227	203	688
228	204	687
229	205	686
230	205	684
231	206	683
232	207	682
233	207	680
234	208	678
235	209	676
236	209	674
237	210	672
238	210	670
239	211	668
240	211	666
241	212	666
242	213	664
243	214	663
244	214	662
245	215	661
246	216	660
247	217	659
248	218	657
249	218	655
250	219	654
251	219	652
252	220	651
253	221	649
254	222	651
255	223	649
256	224	648
257	224	646
258	225	645
259	226	644
260	226	642
261	227	640
262	228	639
263	228	637
264	229	635
265	229	634
266	230	632
267	231	631
268	231	630
269	232	628
270	233	628
271	234	627
272	235	625
273	235	623
274	235	622
275	236	620
276	236	618
277	237	616
278	237	614
279	238	612
280	238	611
281	239	609
282	240	608
283	240	606
284	241	604
285	241	603
286	242	602
287	243	601
288	243	599
289	244	598
290	244	596
291	245	595
292	246	593
293	246	592
294	247	591
295	248	590
296	248	588
297	249	587
298	250	586
299	250	584
300	251	583
301	252	582
302	252	581
303	253	580
304	254	578
305	255	578
306	255	577
307	256	575
308	256	574
309	257	573
310	258	572
311	259	572
312	260	572
313	261	571
314	262	569
315	262	568
316	263	566
317	263	565
318	264	565
319	267	567
320	269	570
321	270	569
322	271	568
323	271	566
324	272	565
325	272	563
326	273	562
327	274	562
328	276	564
329	277	564
330	278	563
331	279	562
332	280	561
333	281	560
334	281	559
335	282	557
336	282	556
337	283	554
338	284	553
339	284	552
340	286	554
341	287	553
342	288	552
343	289	551
344	289	550
345	290	549
346	291	548
347	291	546
348	292	545
349	292	543
350	293	542
351	293	541
352	294	539
353	295	538
354	295	536
355	296	535
356	296	534
357	297	533
358	298	532
359	298	531
360	299	530
361	300	528
362	300	527
363	301	526
364	301	525
365	302	523
366	304	524
367	305	524
368	306	523
369	306	522
370	307	521
371	308	520
372	308	518
373	309	517
374	309	516
375	310	514
376	310	513
377	310	511
378	311	510
379	311	508
380	312	506
381	312	505
382	312	504
383	313	502
384	313	501
385	314	499
386	314	498
387	314	496
388	315	495
389	315	493
390	316	492
391	316	490
392	316	489
393	317	487
394	317	486
395	318	485
396	319	484
397	319	483
398	319	481
399	320	480
400	321	479
401	321	478
402	323	479
403	324	478
404	324	476
